"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Singh3315V: @plexail_studio These are best captured shots by me..<U+270C><U+FE0F><U+0001F44D>

#WorldPhotographyDay 
#WorldPhotographyDay2019 
#ContestAlert

Jo…",FALSE,0,NA,2019-08-19 15:18:00,FALSE,NA,"1163470176018296833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandeeppalo_13",2,TRUE,FALSE,NA,NA
"2","RT @SKapil5: The #TeachingsOf_SaintRampalJi Maharaj are ultimate &amp; beneficial for an human life's.
Their followers never tell a lie &amp; never…",FALSE,0,NA,2019-08-19 15:17:59,FALSE,NA,"1163470169772974080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ankitda28166645",3,TRUE,FALSE,NA,NA
"3","RT @100MasterBlastr: Some cameras capture lights that stay still forever in our hearts!

#WorldPhotographyDay #WorldPhotographyDay2019 http…",FALSE,0,NA,2019-08-19 15:17:59,FALSE,NA,"1163470168690851841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Offl_Mahifan",155,TRUE,FALSE,NA,NA
"4","@Spoof_Junkey My contribution to #WorldPhotographyDay2019 https://t.co/Qm3vI5w468",FALSE,0,"Spoof_Junkey",2019-08-19 15:17:54,FALSE,"1163369907456634881","1163470150118465537","1041870173702107137","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imajaysinghal",0,FALSE,FALSE,NA,NA
"5","RT @khyuwun: no photography hashtag without me plugging kihyun's works #WorldPhotographyDay2019 https://t.co/ErVRDJQEjx",FALSE,0,NA,2019-08-19 15:17:54,FALSE,NA,"1163470147979501568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tiiraminsu",3,TRUE,FALSE,NA,NA
"6","#WorldPhotographyDay 
#MyClick via @realmemobiles #RealMe3Pro #ShotOnRealMe3Pro #ProudToBeYoung 
@realmecareIN… https://t.co/tFgYMSACuq",FALSE,0,NA,2019-08-19 15:17:53,TRUE,NA,"1163470145290768384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarthickS_31",0,FALSE,FALSE,NA,NA
"7","As it’s #WorldPhotographyDay2019 what one picture sums up the NCI for you?",FALSE,0,NA,2019-08-19 15:17:52,FALSE,NA,"1163470142233333760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nat_Coastwatch",0,FALSE,FALSE,NA,NA
"8","#Italy #WorldPhotographyDay2019 https://t.co/LYFM6WgwLk",FALSE,0,NA,2019-08-19 15:17:52,FALSE,NA,"1163470140240871424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KadavulinTweet",0,FALSE,FALSE,NA,NA
"9","RT @Kamla__Pasand: This #WorldPhotographyDay Kamla Pasand has something exciting for you.
Can you stop it on the right spot?
Take a screens…",FALSE,0,NA,2019-08-19 15:17:50,FALSE,NA,"1163470134121390080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shailes80802048",70,TRUE,FALSE,NA,NA
"10","#WorldPhotographyDay #WorldPhotographyDay2019 https://t.co/fXTQLNKlRK",FALSE,0,NA,2019-08-19 15:17:50,FALSE,NA,"1163470133815173120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","im_srishabh21",0,FALSE,FALSE,NA,NA
"11","RT @timz_art: World Photography Day 
.
.
.
#WorldPhotographyDay  #WorldPhotoDay #WorldPhotographyDay2019 #timz_art #timzart #tmblaq #TMbili…",FALSE,0,NA,2019-08-19 15:17:49,FALSE,NA,"1163470126978654208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pichazasimu",3,TRUE,FALSE,NA,NA
"12","RT @Glastomichelle: It's world photography day today so I have decided to post one of my favourite pics taken in the Spring time here in Gl…",FALSE,0,NA,2019-08-19 15:17:48,FALSE,NA,"1163470125699411968",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TrueBlueLiberal",132,TRUE,FALSE,NA,NA
"13","RT @News18TamilNadu: #WorldPhotographyDay | <U+0B85><U+0B9C><U+0BBF><U+0BA4><U+0BCD> <U+0B95><U+0BBF><U+0BB3><U+0BBF><U+0B95><U+0BCD> <U+0B9A><U+0BC6><U+0BAF><U+0BCD><U+0BA4> <U+0B85><U+0B9F><U+0BCD><U+0B9F><U+0B95><U+0BBE><U+0B9A><U+0BAE><U+0BBE><U+0BA9> <U+0BAA><U+0BC1><U+0B95><U+0BC8><U+0BAA><U+0BCD><U+0BAA><U+0B9F><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BCD>...!

#WorldPhotographyDay2019 #Ajithkumar #NerKonda…",FALSE,0,NA,2019-08-19 15:17:47,FALSE,NA,"1163470119730761728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thalapathy_modi",747,TRUE,FALSE,NA,NA
"14","RT @NishithaD_blood: #WorldPhotographyDay2019 

MyClickzzz .!!<U+2764><U+FE0F>.!! 

#Paris #Riga #Greece <U+0001F525><U+0001F525> Destination for photography <U+0001F4AB><U+0001F4AB> @PhotographyWe…",FALSE,0,NA,2019-08-19 15:17:47,FALSE,NA,"1163470118875123713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarthiK25898736",5,TRUE,FALSE,NA,NA
"15","Edward Fitzpatrick : Sun loungers 
https://t.co/ZdBvDKkVFg

#Photography #WorldPhotographyDay2019… https://t.co/S2uPVpUhk0",FALSE,0,NA,2019-08-19 15:17:43,TRUE,NA,"1163470102584578049",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EdwardF46587083",0,FALSE,FALSE,NA,NA
"16","#WorldPhotographyDay2019 
<U+0001F4F8> https://t.co/rj2tjiqhdO",FALSE,0,NA,2019-08-19 15:17:42,FALSE,NA,"1163470100139319297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TatsiThy_",0,FALSE,FALSE,NA,NA
"17","RT @Inter: <U+0001F4F8> | FOTO

Qual è la vostra foto nerazzurra preferita?

#WorldPhotographyDay
#WorldPhotographyDay2019 https://t.co/VKLoXRzxeh",FALSE,0,NA,2019-08-19 15:17:42,FALSE,NA,"1163470098704867328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","45EMDE",80,TRUE,FALSE,NA,NA
"18","#TeachingsOf_SaintRampalJi
#WorldPhotographyDay2019

Don't miss short video about sins https://t.co/mEF5VBgm02",FALSE,0,NA,2019-08-19 15:17:35,FALSE,NA,"1163470070892208128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DineshShaky1",0,FALSE,FALSE,NA,NA
"19","RT @taukirmukadam: @plexail_studio Here's my Entry team
#WorldPhotographyDay2019 #WorldPhotographyDay 
#ContestAlert 
@plexail_studio

Join…",FALSE,0,NA,2019-08-19 15:17:33,FALSE,NA,"1163470060402249728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandeeppalo_13",6,TRUE,FALSE,NA,NA
"20","RT @CIA: The center of our compass <U+0001F339>.

#WorldPhotoDay #WorldPhotographyDay2019 https://t.co/1XgaCllvSN",FALSE,0,NA,2019-08-19 15:17:30,FALSE,NA,"1163470049996357632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","razhuyarevatel",49,TRUE,FALSE,NA,NA
"21","RT @Manivannan__K: #Myclick
#WorldPhotographyDay2019 
#WorldPhotographyDay 
#WorldPhotoDay https://t.co/HoGnYoXJ28",FALSE,0,NA,2019-08-19 15:17:30,FALSE,NA,"1163470047127330816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anbu_offical",2,TRUE,FALSE,NA,NA
"22","#WorldPhotographyDay2019 https://t.co/HWNB5FKWm0",FALSE,0,NA,2019-08-19 15:17:27,FALSE,NA,"1163470035534458881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prowithpuns",0,FALSE,FALSE,NA,NA
"23","RT @yorkshiremedia: Happy World Photography Day! We shot some headshots today! 

#WorldPhotographyDay2019 #photographer #headshots https://…",FALSE,0,NA,2019-08-19 15:17:26,FALSE,NA,"1163470030685855747",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_ShieldPest",2,TRUE,FALSE,NA,NA
"24","RT @Rushmi9009: I bow to every person who worship the most amazing creation #Camera 
#WorldPhotographyDay2019 
#PhotographyDay 
#<U+092E><U+093E><U+091D><U+093E><U+0915><U+094D><U+0932><U+093F><U+0915>…",FALSE,0,NA,2019-08-19 15:17:26,FALSE,NA,"1163470030572408833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaniishShaikh",2,TRUE,FALSE,NA,NA
"25","RT @urstrulyBalu6: One Of My Favorite Clicks <U+0001F4F8> #Hyderabad
#WorldPhotographyDay2019 #BaluClicks https://t.co/BQHlU6QL8J https://t.co/RsTrVjJ…",FALSE,0,NA,2019-08-19 15:17:24,FALSE,NA,"1163470023236734977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SprEinfach",5,TRUE,FALSE,NA,NA
